Age group,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 80
0 to 4,0.659868,0.503965,0.214773,0.09451,0.158075,0.331194,0.61729,0.62299,0.229867,0.077709,0.072124,0.035873,0.029785,0.00992,0.004242,0.006162
5 to 9,0.314777,0.89546,0.412466,0.128926,0.039333,0.149588,0.431338,0.624945,0.476873,0.162493,0.049998,0.029619,0.016726,0.009524,0.004178,0.004356
10 to 14,0.132821,0.405073,1.433889,0.398806,0.055355,0.034249,0.119908,0.375305,0.562358,0.271332,0.075579,0.018716,0.014074,0.010442,0.007698,0.004158
15 to 19,0.061564,0.116366,0.450973,1.195113,0.189481,0.041827,0.025563,0.158732,0.359678,0.464636,0.211951,0.047126,0.01989,0.011908,0.004919,0.003074
20 to 24,0.141022,0.064642,0.083547,0.402243,1.192193,0.248001,0.046676,0.022216,0.139739,0.435903,0.281063,0.103923,0.02011,0.004025,0.005359,0.003697
25 to 29,0.425156,0.137258,0.043092,0.083336,0.277888,1.089831,0.227318,0.041119,0.02086,0.076337,0.208133,0.106445,0.043404,0.010788,0.001526,0.006817
30 to 34,0.632564,0.529788,0.221806,0.04173,0.064195,0.225838,0.936337,0.236536,0.071505,0.022377,0.040784,0.062238,0.059047,0.010583,0.005423,0.003594
35 to 39,0.533818,0.763952,0.564592,0.208467,0.031192,0.040859,0.164459,0.947228,0.174175,0.042038,0.02526,0.018571,0.032817,0.019281,0.009448,0.002792
40 to 44,0.241485,0.535247,0.726603,0.447729,0.109945,0.03454,0.07709,0.181137,0.772082,0.16217,0.037187,0.007443,0.021397,0.02512,0.009872,0.006676
45 to 49,0.122279,0.276169,0.460515,0.616758,0.323894,0.077888,0.030709,0.080238,0.164073,0.673774,0.140821,0.027285,0.011768,0.009064,0.00839,0.012394
50 to 54,0.202735,0.168975,0.305292,0.411281,0.390545,0.234836,0.091048,0.04861,0.079534,0.187475,0.668687,0.135916,0.026985,0.008731,0.009396,0.020106
55 to 59,0.327263,0.324731,0.218961,0.30264,0.283606,0.328313,0.257038,0.084281,0.042615,0.12336,0.21965,0.703325,0.147409,0.043435,0.00716,0.020524
60 to 64,0.390012,0.348613,0.24646,0.221558,0.154866,0.216622,0.292574,0.21071,0.095469,0.050066,0.09914,0.20558,0.673061,0.117825,0.022641,0.005232
65 to 69,0.276913,0.408507,0.369374,0.194775,0.133839,0.154877,0.265935,0.315639,0.260624,0.081603,0.079352,0.113753,0.165434,0.679889,0.102949,0.014578
70 to 74,0.124528,0.373076,0.331749,0.264715,0.053835,0.113358,0.102258,0.245019,0.234382,0.184046,0.109951,0.05318,0.104953,0.157146,0.434751,0.096379
75 to 80,0.223936,0.293988,0.468127,0.366285,0.094773,0.083843,0.104393,0.235221,0.287783,0.263886,0.296623,0.126778,0.049124,0.09416,0.10021,0.304143
