layer,contacts,proportion,beta_layer,age_lb,age_ub,cluster_type,dispersion,dynamic,iso_factor,quar_factor,
H,4,,1,,,home,,,0.2,1,
S,21,,0.25,,,school,,,0,0.1,
W,5,,0.3,,,work,,,0,0.1,
C,1,1,0.1,,,random,,y,0.1,0.2,
church,20,0.11,0.04,,,cluster,,,0,0.01,
pSport,40,0.0006,0.2,18,40,complete,,,0,0,
cSport,30,0.34,0.1,4,30,cluster,,,0,0,
entertainment,25,0.3,0.01,15,,random,,y,0,0,
cafe_restaurant,19,0.6,0.04,18,,random,,y,0,0,
pub_bar,30,0.4,0.06,18,,random,,y,0,0,
transport,25,0.114,0.16,15,,random,,y,0,0.1,
public_parks,10,0.6,0.03,,,random,,y,0,0,
large_events,50,0.2,0.01,,,random,,y,0,0,
social,6,1,0.3,15,,random,,,0,0,
